c0,c1,c2
и,cc,CCONJ
густо,advmod,PART
предостерегающе,advmod,ADV
и,cc,CCONJ
хмуро,advmod,ADV
й,nsubj,Nom_PRON
не,advmod,PART
забормотал,parataxis,VERB
смущенно,advmod,ADV
субъект,obj,Acc_NOUN
продолжая,advcl,VERB
результат,obj,Acc_NOUN
строго,advmod,ADV
филипп,nsubj,Nom_PROPN
субъект,nsubj,Nom_NOUN
экстазе,obl,Loc_NOUN
рука,iobj,Ins_NOUN
а,cc:preconj,CCONJ
почему,mark,SCONJ
вы,nsubj,Nom_PRON
лицо,nsubj,Nom_NOUN
что,mark,SCONJ
бездельники,nsubj,Nom_NOUN
я,iobj,Dat_PRON
краски,obl,Gen_NOUN
бить,xcomp,VERB
свирепея,advcl,VERB
спросить,acl:relcl,VERB
чтот,nsubj,Nom_PRON
делать,xcomp,VERB
профессор,nsubj,Nom_NOUN
плаксиво,obj,Acc_NOUN
обрейтесь,advmod,ADV
профессор,nsubj,Nom_PROPN
жалобно,advmod,ADV
посетитель,nsubj,Nom_NOUN
ведь,parataxis,VERB
если,mark,SCONJ
б,nsubj,Nom_NOUN
вы,nsubj,Nom_PRON
способ,obj,Acc_NOUN
омолаживать,xcomp,VERB
сразу,advmod,ADV
филипп,nsubj,Nom_PROPN
наклоняясь,advcl,VERB
он,nsubj,Nom_PRON
глазками,advmod,Ins_NOUN
живот,obj,Acc_NOUN
ну,obj,Acc_PROPN
я,nsubj,Nom_PRON
даже,discourse,PART
не,advmod,PART
сказать,xcomp,VERB
кто,nsubj,Nom_PRON
прелестней,nsubj,Gen_NOUN
сковород,obl,Gen_NOUN
пациент,obj,Acc_NOUN
одеваться,conj,VERB
приведя,advcl,VERB
он,nsubj,Nom_PRON
подпрыгивая,advcl,VERB
стать,parataxis,VERB
филипп,nsubj,Nom_PROPN
пачку,iobj,Dat_NOUN
и,cc,CCONJ
нежно,advmod,ADV
жать,xcomp,VERB
два,obl,Loc_PROPN
неделя,obl,Loc_NOUN
можете,obj,Loc_NOUN
показываться,xcomp,VERB
филипп,nsubj,Nom_PROPN
осторожны,conj,Nom_ADJ
профессор,nsubj,Nom_PROPN
экстазе,obl,Loc_NOUN
голос,obj,Acc_NOUN
он,nsubj,Nom_PRON
сладостно,advmod,ADV
пропал,conj,VERB
и,cc,CCONJ
звонок,nsubj,Nom_NOUN
квартира,obl,Dat_NOUN
открыться,parataxis,VERB
войти,conj,VERB
вручил,conj,VERB
тяпнутый,nsubj,Nom_NOUN
заявить,parataxis,VERB
филипп,nsubj,Nom_PROPN
листок,nmod,Nom_NOUN
и,cc,CCONJ
вероятно,advmod,ADV
четыре,obj,Acc_NUM
пятьдесят,parataxis,VERB
пять,obj,Acc_NOUN
он,nsubj,Nom_PRON
сменился,conj,VERB
и,cc,CCONJ
дамой,iobj,Ins_NOUN
шляпе,obl,Dat_NOUN
колье,obl,Acc_NOUN
мешки,nsubj,Nom_NOUN
она,obl,Acc_PRON
глаз,obl,Ins_NOUN
цвет,conj,Gen_NOUN
она,nsubj,Nom_PRON
сильно,advmod,ADV
сколько,advmod,ADV
вы,obj,Dat_PRON
год,obl,Gen_NOUN
очень,advmod,ADV
сурово,nsubj,Nom_NOUN
она,advmod,ADV
филипп,nsubj,Nom_PROPN
дама,nsubj,Nom_NOUN
побледнела,conj,VERB
и,cc,CCONJ
даже,discourse,PART
румян,obl,Gen_NOUN
если,mark,SCONJ
бы,mark,SCONJ
вы,nsubj,Nom_PRON
какой,advcl,VERB
вы,obj,Dat_PRON
сударыня,nsubj,Nom_NOUN
повторить,parataxis,VERB
еще,advmod,ADV
суровее,advmod,ADV
филипп,nsubj,Nom_PROPN
сударыня,nsubj,Nom_PROPN
ждут,parataxis,VERB
филипп,nsubj,Nom_PROPN
я,nsubj,Acc_PRON
грудь,nsubj,Nom_NOUN
бурно,advmod,ADV
но,cc,CCONJ
ужас,obj,Acc_NOUN
вы,obj,Dat_PRON
год,obl,Gen_NOUN
яростно,advmod,ADV
и,cc,CCONJ
визгливо,advmod,ADV
филипп,nsubj,Nom_PROPN
очки,conj,Nom_NOUN
корчась,parataxis,VERB
страху,obl,Acc_NOUN
ответила,acl:relcl,VERB
адм,nsubj,Nom_NOUN
сударыня,nsubj,Nom_NOUN
облегченно,advmod,ADV
указать,conj,VERB
филипп,nsubj,Nom_PROPN
и,cc,CCONJ
эшафот,obl,Acc_NOUN
угол,obl,Loc_NOUN
от,nsubj,Nom_PROPN
рассеянно,advmod,ADV
нажал,conj,VERB
филипп,nsubj,Nom_PROPN
и,cc,CCONJ
педаль,obj,Acc_NOUN
умывальнике,obl,Loc_NOUN
вода,nsubj,Nom_NOUN
бог,iobj,Ins_PROPN
говорила,parataxis,VERB
адм,nsubj,Nom_NOUN
продирались,conj,VERB
и,cc,CCONJ
живые,amod,Nom_ADJ
пятна,amod,Nom_ADJ
искусственные,obl,Acc_ADJ
щеках,obl,Loc_NOUN
страсть,nsubj,Nom_NOUN
й,nsubj,Nom_PRON
это,nsubj,Nom_PRON
москва,nsubj,Nom_PROPN
дама,nsubj,Nom_NOUN
выбрасывала,conj,VERB
и,cc,CCONJ
юбок,obj,Acc_NOUN
пес,nsubj,Nom_PROPN
совершенно,advmod,ADV
пошло,conj,VERB
и,cc,CCONJ
голова,obl,Loc_NOUN
он,obl,Gen_PRON
кверху,obj,Acc_NOUN
ну,obj,Acc_PROPN
черта,obl,Dat_NOUN
мутно,advmod,ADV
он,nsubj,Nom_PRON
положил,conj,VERB
голова,obj,Acc_NOUN
лапа,obl,Acc_NOUN
и,cc,CCONJ
стыда,obl,Gen_NOUN
стараться,conj,VERB
он,nsubj,Nom_PRON
звонка,obl,Gen_NOUN
увидеть,conj,VERB
и,cc,CCONJ
швырнул,ccomp,VERB
что,mark,SCONJ
филипп,nsubj,Nom_PROPN
таз,obl,Acc_NOUN
трубка,obj,Acc_NOUN
тот,nsubj,Nom_PROPN
важно,advmod,ADV
записать,conj,VERB
и,cc,CCONJ
сев,advcl,VERB
что,mark,SCONJ
он,nsubj,Nom_PRON
посмотрел,conj,VERB
и,cc,CCONJ
строго,advmod,ADV
да,obl,Gen_PROPN
непреклонно,advmod,ADV
филипп,nsubj,Nom_PROPN
когда,mark,SCONJ
операция,nsubj,Nom_NOUN
голосом,advmod,Ins_NOUN
адм,nsubj,Nom_NOUN
ляжете,advmod,ADV
клинику,obl,Acc_NOUN
ассистент,nsubj,Nom_NOUN
вы,obj,Acc_PRON
себя,obl,Gen_PRON
й,nsubj,Nom_PRON
операция,obj,Acc_NOUN
стоить,xcomp,VERB
червонцев,obj,Gen_NOUN
опять,advmod,ADV
вода,nsubj,Nom_NOUN
колыхнулась,conj,VERB
апшля,nsubj,Nom_NOUN
появиться,conj,VERB
потом,advmod,ADV
лысая,nsubj,Nom_ADJ
пес,nsubj,Nom_PROPN
пройти,parataxis,VERB
тошнота,nsubj,Nom_NOUN
наслаждался,conj,VERB
пес,nsubj,Nom_NOUN
боком,iobj,Ins_NOUN
всхрапнул,parataxis,VERB
даже,discourse,PART
и,cc,CCONJ
увидать,xcomp,VERB
вырвал,parataxis,VERB
он,nsubj,Nom_PRON
совы,obl,Acc_NOUN
пук,obj,Acc_NOUN
тявкнул,conj,VERB
голос,obj,Acc_NOUN
головой,obl,Loc_PROPN
господа,nsubj,Gen_PROPN
возмущенно,advmod,ADV
нельзя,advcl,VERB
вы,nsubj,Nom_PRON
погубить,parataxis,VERB
огласка,nsubj,Nom_NOUN
я,obj,Acc_PRON
дверь,nsubj,Nom_NOUN
сменяться,conj,VERB
лицо,nsubj,Nom_NOUN
греметь,conj,VERB
инструменты,obj,Nom_NOUN
работать,conj,VERB
и,cc,CCONJ
филипп,nsubj,Nom_PROPN
покладая,advcl,VERB
квартирка,nsubj,Nom_NOUN
пес,nsubj,Nom_NOUN
хорошо,conj,VERB
а,cc:preconj,CCONJ
черта,obl,Gen_NOUN
я,nsubj,Nom_PRON
он,iobj,Dat_PRON
да,cc:preconj,CCONJ
он,nsubj,Nom_PRON
псом,advmod,Ins_NOUN
ахнуть,ccomp,Nom_NOUN
окончательно,advmod,ADV
пес,nsubj,Nom_NOUN
вечером,iobj,Ins_NOUN
прекратились,advcl,VERB
когда,advmod,ADV
звоночки,nsubj,Nom_NOUN
раз,obl,Acc_NOUN
мгновение,obl,Acc_NOUN
пропустить,advcl,VERB
когда,advmod,ADV
дверь,obj,Acc_NOUN
посетитель,obj,Acc_NOUN
удивленно,advmod,ADV
пес,obj,Acc_NOUN
гораздо,advmod,ADV
более,advmod,ADV
неприязненно,advmod,ADV
гость,nsubj,Acc_NOUN
он,nsubj,Nom_PRON
стола,obl,Gen_NOUN
полководец,obl,Nom_NOUN
нос,obl,Gen_NOUN
войти,amod,Nom_ADJ
ковре,obl,Loc_NOUN
тот,obj,Acc_NOUN
кто,obl,Gen_PRON
голова,obl,Loc_NOUN
четверть,obl,Acc_NOUN
господа,nsubj,Nom_NOUN
напрасно,advmod,ADV
калош,obl,Acc_NOUN
погод,obl,Acc_NOUN
его,obj,Acc_PRON
филипп,nsubj,Nom_PROPN
вы,nsubj,Nom_PRON
наследите,conj,VERB
а,cc,CCONJ
во,case,ADP
вы,nsubj,Nom_PRON
я,iobj,Dat_PRON
коврах,obl,Loc_NOUN
ковер,conj,Acc_NOUN
тот,nsubj,Nom_PROPN
филипп,obl,Gen_PROPN
филиппович,nsubj,Nom_PROPN
молчание,nsubj,Nom_NOUN
секунда,obl,Gen_NOUN
прервал,conj,VERB
и,cc,CCONJ
его,obj,Acc_PRON
стук,nsubj,Nom_NOUN
блюду,obl,Dat_NOUN
столе,obl,Loc_NOUN
господа,obl,Gen_NOUN
вид,nsubj,Gen_NOUN
во,advmod,ADV
филипп,conj,Nom_PROPN
четверо,advmod,ADV
вновь,advmod,ADV
открыть,conj,VERB
и,cc,CCONJ
рты,obj,Acc_NOUN
раз,obl,Acc_NOUN
тот,obj,Acc_NOUN
копной,nmod,Ins_NOUN
разница,nsubj,Nom_NOUN
горделиво,obj,Acc_NOUN
женщина,nsubj,Nom_NOUN
юноша,nsubj,Nom_NOUN
покраснел,conj,VERB
и,cc,CCONJ
сильно,advmod,ADV
вслед,advmod,ADV
он,obl,Ins_PRON
почему,obj,Acc_NOUN
а,cc,CCONJ
государь,nsubj,Nom_NOUN
внушительно,advmod,ADV
филипп,nsubj,Nom_PROPN
я,nsubj,Nom_PRON
вы,obj,Dat_PRON
государь,nsubj,Nom_NOUN
резко,advmod,ADV
блондин,nsubj,Nom_NUM
мы,nsubj,Nom_PRON
вы,obl,Dat_PRON
начать,parataxis,VERB
вновь,advmod,ADV
черный,obj,Acc_ADJ
ярость,obl,Loc_NOUN
швондер,nsubj,Nom_PROPN
это,aux:pass,AUX
вы,nsubj,Acc_PRON
квартиру,obl,Acc_NOUN
швондер,nsubj,Nom_PROPN
дом,obj,Acc_NOUN
воскликнул,parataxis,VERB
отчаянии,obl,Loc_NOUN
филипп,nsubj,Nom_PROPN
вплеснул,conj,VERB
и,cc,CCONJ
руками,iobj,Ins_NOUN
смеетесь,advmod,ADV
швондер,nsubj,Nom_PROPN
какой,nsubj,Nom_ADJ
там,advmod,ADV
филипп,nsubj,Nom_PROPN
отоплением,ccomp,Ins_NOUN
вы,nsubj,Nom_PRON
профессор,conj,Nom_NOUN
дел,obl,Dat_NOUN
вы,nsubj,Nom_PRON
я,obl,Dat_PRON
говорите,conj,VERB
ненавистью,obl,Ins_NOUN
швондер,nsubj,Nom_PROPN
прийти,ccomp,VERB
вы,obl,Dat_PRON
собрание,obl,Gen_NOUN
стоять,acl:relcl,VERB
который,obl,Loc_PRON
вопрос,nsubj,Nom_NOUN
кто,nsubj,Nom_PRON
ком,obl,Ins_NOUN
крикнул,parataxis,VERB
филипп,nsubj,Nom_PROPN
вопрос,nsubj,Nom_PROPN
уплотнении,obl,Loc_NOUN
я,nsubj,Nom_PRON
швондер,nsubj,Nom_PROPN
прийти,conj,VERB
но,cc,CCONJ
собрание,obj,Acc_NOUN
заключение,obl,Dat_NOUN
занимаете,ccomp,VERB
что,mark,SCONJ
целый,obl,Loc_NOUN
вы,nsubj,Nom_PRON
площадь,obj,Acc_NOUN
живу,obj,Acc_NOUN
филипп,nsubj,Nom_PROPN
желал,conj,VERB
и,cc,CCONJ
бы,discourse,PART
иметь,xcomp,VERB
четверо,advmod,ADV
э,nsubj,Nom_PROPN
блондин,appos,Nom_NOUN
юноша,obj,Acc_PROPN
оказавшийся,acl,Nom_VERB
общий,obl,Loc_NOUN
не,advmod,PART
извиняюсь,advcl,VERB
четвертый,nsubj,Nom_NOUN
извиняюсь,advcl,VERB
его,obj,Acc_PRON
швондер,nsubj,Nom_PROPN
прийти,parataxis,VERB
повод,obl,Dat_NOUN
мы,nsubj,Nom_PRON
и,cc,CCONJ
говорить,xcomp,VERB
собрание,nsubj,Nom_NOUN
вы,obj,Acc_PRON
добровольно,advmod,ADV
порядок,obl,Loc_NOUN
айседоры,nsubj,Nom_PROPN
звонко,advmod,ADV
женщина,nsubj,Nom_NOUN
филиппом,obl,Ins_PROPN
что,mark,SCONJ
побагровело,nsubj,Nom_NOUN
произнести,conj,VERB
но,cc,CCONJ
он,nsubj,Nom_PRON
не,advmod,PART
звука,obj,Gen_NOUN
выжидая,advcl,VERB
можно,parataxis,VERB
угу,nsubj,Nom_PROPN
странный,acl,Ins_VERB
спальня,obl,Loc_NOUN
хором,obj,Ins_NOUN
четверо,advmod,ADV
багровость,nsubj,Nom_PROPN
оттенок,obj,Acc_NOUN
принимать,xcomp,VERB
он,nsubj,Nom_PRON
голосом,iobj,Ins_NOUN
читать,conj,VERB
осматривать,conj,VERB
что,mark,SCONJ
айседора,nsubj,Nom_PROPN
так,cc,ADV
она,nsubj,Nom_PRON
кабинете,obl,Loc_NOUN
режет,conj,VERB
а,cc,CCONJ
кроликов,nsubj,Gen_NOUN
аннва,obl,Loc_ADJ
но,cc:preconj,CCONJ
айседора,nsubj,Nom_PROPN
дункан,nsubj,Nom_PROPN
вдруг,advmod,ADV
желтой,amod,Ins_ADJ
обедать,xcomp,VERB
оперировать,conj,VERB
где,advmod,ADV
она,nsubj,Acc_PRON
человек,nsubj,Nom_NOUN
профессор,nsubj,Nom_NOUN
подаем,conj,VERB
швондер,nsubj,Nom_PROPN
мы,nsubj,Nom_PRON
вы,obl,Acc_PRON
жалобу,obl,Acc_NOUN
инстанция,obl,Gen_NOUN
ага,nsubj,Nom_PROPN
принять,parataxis,VERB
филипп,nsubj,Nom_PROPN
так,advmod,ADV
голос,obj,Acc_PROPN
он,obj,Acc_PRON
оттенок,obj,Acc_NOUN
парень,nsubj,Nom_NOUN
восторге,obl,Loc_NOUN
пес,nsubj,Nom_NOUN
я,obl,Acc_PRON
ох,nsubj,Nom_PROPN
ох,conj,Loc_ADJ
тяпнет,conj,Nom_NOUN
не,advmod,PART
способ,iobj,Ins_NOUN
тяпнет,conj,VERB
филипп,nsubj,Nom_PROPN
трубку,obj,Acc_NOUN
телефон,obl,Gen_NOUN
сказать,conj,VERB
и,cc,CCONJ
она,obl,Acc_PRON
да,nsubj,Nom_NOUN
вы,obj,Acc_PRON
рад,nsubj,Nom_NOUN
что,mark,SCONJ
вы,nsubj,Acc_PRON
вы,obj,Acc_PRON
петр,nsubj,Nom_PROPN
ваша,nsubj,Nom_NOUN
операция,nsubj,Nom_NOUN
совесь,advmod,ADV
й,nsubj,Nom_PRON
работа,obj,Acc_NOUN
россия,obl,Loc_PROPN
сейчас,advmod,ADV
я,obl,Dat_PRON
вооружены,conj,Nom_VERB
и,cc,CCONJ
квартира,obl,Loc_NOUN
позвольте,nsubj,Nom_PROPN
швондер,conj,Nom_PROPN
что,mark,SCONJ
они,nsubj,Nom_PRON
что,mark,SCONJ
они,nsubj,Nom_PRON
я,iobj,Dat_PRON
отказаться,xcomp,VERB
я,nsubj,Acc_PRON
необходимость,obl,Acc_NOUN
оперировать,xcomp,VERB
резал,acl:relcl,VERB
где,advmod,ADV
я,nsubj,Nom_PRON
пора,obl,Gen_NOUN
кроликов,obl,Gen_NOUN
поэтому,mark,SCONJ
я,nsubj,Nom_PRON
деятельность,obj,Acc_NOUN
закрываю,conj,VERB
квартиру,obj,Acc_NOUN
сочи,obl,Acc_PROPN
пусть,nsubj,Nom_NOUN
он,nsubj,Nom_PRON
четверо,advmod,ADV
снег,nsubj,Nom_PROPN
они,obl,Loc_PRON
сапогах,obl,Loc_NOUN
чтобы,mark,SCONJ
имя,nsubj,Nom_NOUN
даже,discourse,PART
не,advmod,PART
я,nsubj,Nom_PRON
они,obl,Gen_PRON
сейчас,advmod,ADV
трубку,obj,Acc_NOUN
голосом,advmod,Ins_NOUN
филипп,nsubj,Nom_PROPN
швондеру,obl,Dat_PROPN
говорить,xcomp,VERB
позвольте,nsubj,Nom_PROPN
швондер,obj,Nom_PROPN
извратили,conj,VERB
вспыхивая,advcl,VERB
угасая,conj,Nom_ADJ
вы,nsubj,Nom_PRON
слово,obj,Acc_NOUN
швондер,nsubj,Nom_PROPN
растерянно,advmod,ADV
трубку,obj,Acc_NOUN
молвил,conj,VERB
и,cc,CCONJ
й,nsubj,Nom_PRON
мы,nsubj,Nom_PRON
правило,obl,Dat_NOUN
мы,nsubj,Nom_PRON
работа,obl,Loc_NOUN
комната,obj,Gen_NOUN
оставить,xcomp,VERB
он,nsubj,Nom_PRON
трубку,obj,Acc_NOUN
повернуться,conj,VERB
и,cc,CCONJ
как,mark,SCONJ
ну,obj,Acc_NOUN
восхищенно,advmod,ADV
пес,obj,Acc_NOUN
слово,ccomp,Acc_NOUN
что,mark,SCONJ
ли,discourse,PART
такой,nsubj,Nom_DET
трое,nsubj,Nom_PRON
открыв,advcl,VERB
швондера,nmod,Gen_PROPN
это,cop,AUX
позор,nsubj,Nom_NOUN
несмело,advmod,ADV
тот,obj,Acc_NOUN
доказала,parataxis,VERB
женщина,nsubj,Nom_NOUN
волнуясь,advcl,VERB
загораясь,advcl,VERB
й,nsubj,Nom_PRON
петру,iobj,Dat_PROPN
виноват,nsubj,Nom_PROPN
сию,obj,Acc_NOUN
открыть,xcomp,VERB
вежливо,advmod,ADV
филипп,nsubj,Nom_PROPN
я,nsubj,Nom_PRON
иронию,iobj,Dat_NOUN
профессор,conj,Nom_NOUN
тоуйд,acl:relcl,VERB
мы,nsubj,Nom_PRON
сейчас,advmod,ADV
за,nsubj,Nom_PROPN
филипп,parataxis,Nom_PROPN
тут,advmod,ADV
женщина,nsubj,Nom_NOUN
журнал,obj,Gen_NOUN
взять,xcomp,VERB
кратко,advmod,ADV
филипп,nsubj,Nom_PROPN
покосившись,advcl,VERB
изумление,nsubj,Nom_NOUN
лицах,obl,Loc_NOUN
покрылась,conj,VERB
а,cc,CCONJ
женщина,nsubj,Nom_NOUN
налетом,advmod,Ins_NOUN
почему,mark,SCONJ
вы,nsubj,Nom_PRON
девушка,nsubj,Nom_NOUN
дернул,parataxis,VERB
светилом,advcl,Ins_NOUN
блондин,nsubj,Nom_NOUN
она,obj,Acc_PRON
край,obl,Acc_NOUN
отмахнулась,conj,VERB
но,cc,CCONJ
она,nsubj,Nom_PRON
уверена,obj,Nom_ADJ
вы,obj,Acc_PRON
арестовать,xcomp,VERB
а,cc,CCONJ
что,obl,Acc_PRON
любопытством,obl,Ins_NOUN
филипп,nsubj,Nom_PROPN
ненавистник,nsubj,Nom_NOUN
горячо,nsubj,Nom_NOUN
женщина,nsubj,Nom_NOUN
да,nsubj,Nom_PROPN
печально,advmod,ADV
нажал,conj,VERB
филипп,nsubj,Nom_PROPN
и,cc,CCONJ
кнопку,obj,Acc_NOUN
где,advmod,ADV
дверь,obj,Acc_NOUN
зина,nsubj,Nom_PROPN
филипп,nsubj,Nom_PROPN
вы,nsubj,Nom_PRON
четверо,advmod,ADV
молча,nsubj,Nom_NOUN
кабинет,obl,Gen_NOUN
пройти,parataxis,VERB
молча,nsubj,Nom_NOUN
приемную,obj,Acc_NOUN
быть,conj,VERB
как,mark,SCONJ
они,obl,Ins_PRON
тяжело,obj,Acc_NOUN
пес,nsubj,Nom_PROPN
лапа,obl,Acc_NOUN
сотворил,conj,VERB
и,cc,CCONJ
филиппом,obl,Ins_PROPN
намаз,obj,Acc_NOUN
цветами,obl,Ins_NOUN
тарелках,nmod,Loc_NOUN
ломтиками,iobj,Ins_NOUN
предмет,nsubj,Nom_NOUN
столике,obl,Loc_NOUN
присоседившемся,acl,Loc_VERB
зина,nsubj,Nom_NOUN
блюдо,iobj,Dat_NOUN
который,obl,Loc_PRON
что,mark,SCONJ
что,mark,SCONJ
рота,nsubj,Nom_NOUN
немедленно,advmod,ADV
слюной,iobj,Ins_NOUN
семирамид,nsubj,Nom_PROPN
застучал,conj,VERB
он,nsubj,Nom_PRON
и,cc,CCONJ
палкой,obl,Ins_NOUN
хвостом,iobj,Ins_NOUN
сюда,advmod,ADV
они,obj,Acc_PRON
хищно,advmod,ADV
филипп,nsubj,Nom_PROPN
доктор,nsubj,Nom_NOUN
и,cc:preconj,CCONJ
если,mark,SCONJ
послушаться,xcomp,VERB
английской,amod,Gen_ADJ
водки,conj,Gen_NOUN
красавец,nsubj,Nom_PROPN
он,nsubj,Nom_PRON
быть,aux:pass,AUX
халата,obl,Gen_NOUN
костюме,obl,Loc_NOUN
плечо,iobj,Ins_NOUN
ухмыльнулся,conj,VERB
вежливо,advmod,ADV
налил,conj,VERB
и,cc,CCONJ
прозрачной,iobj,Ins_NOUN
ново,nsubj,ADV
он,nsubj,Nom_PRON
вами,obl,Ins_NOUN
отозвался,parataxis,VERB
спирт,nsubj,Nom_NOUN
готовит,conj,VERB
отлично,advmod,ADV
водку,obj,Acc_NOUN
весь,nsubj,Nom_PRON
приличная,ccomp,Nom_ADJ
а,cc,CCONJ
тридцать,obl,Acc_NOUN
это,nsubj,Nom_PRON
наставительно,advmod,ADV
знает,xcomp,VERB
филипп,nsubj,Nom_PROPN
а,cc,CCONJ
бог,obl,Acc_NOUN
их,obj,Acc_PRON
плеснули,ccomp,VERB
что,mark,SCONJ
они,nsubj,Nom_PRON
туда,advmod,ADV
вы,nsubj,Nom_PRON
сказать,xcomp,VERB
что,mark,SCONJ
они,iobj,Dat_PRON
голова,obl,Acc_NOUN
всё,advmod,ADV
что,mark,SCONJ
угодин,nsubj,Nom_NOUN
уверенно,advmod,ADV
тяпнутый,nsubj,Nom_ADJ
и,cc,CCONJ
я,nsubj,Nom_PRON
вышвырнул,conj,VERB
филипп,nsubj,Nom_PROPN
и,cc,CCONJ
комком,iobj,Ins_NOUN
содержимое,xcomp,Acc_VERB
мм,obl,Gen_NOUN
доктор,nsubj,Nom_NOUN
и,cc,CCONJ
если,mark,SCONJ
вы,nsubj,Nom_PRON
ваш,ccomp,Nom_NOUN
словами,obl,Ins_NOUN
он,nsubj,Nom_PRON
вилку,obl,Acc_NOUN
похожее,appos,ADJ
укушенный,nsubj,Nom_PROPN
пример,iobj,Dat_NOUN
глаз,nsubj,Nom_NOUN
плохо,advmod,ADV
жуя,advcl,VERB
филипп,nsubj,Nom_PROPN
плохо,nsubj,Nom_PROPN
искренне,nsubj,Nom_NOUN
тяпнутый,amod,Nom_ADJ
заметьте,discourse,ADV
закусками,iobj,Ins_NOUN
большевик,iobj,Ins_NOUN
мало,advmod,ADV
закусками,iobj,Ins_NOUN
когда,mark,SCONJ
их,obj,Acc_PRON
великолепно,advmod,ADV
базаре,obl,Loc_PROPN
пса,nsubj,Gen_PROPN
прикармливаете,obl,Loc_NOUN
голос,obj,Acc_NOUN
выманишь,conj,VERB
он,nsubj,Nom_PRON
бедняга,nsubj,Nom_NOUN
подать,parataxis,VERB
филипп,nsubj,Nom_PROPN
конец,obl,Loc_NOUN
псу,obj,Acc_NOUN
принятую,acl,Acc_VERB
свалил,conj,VERB
и,cc,CCONJ
вилку,obj,Acc_NOUN
полоскательницу,obl,Acc_NOUN
засим,acl,Ins_VERB
раками,iobj,Ins_NOUN
пара,nsubj,Nom_NOUN
сидеть,parataxis,VERB
пес,nsubj,Nom_NOUN
тени,obl,Loc_NOUN
вид,obl,Ins_NOUN
склада,obl,Gen_NOUN
проповедовал,conj,VERB
а,cc,CCONJ
филипп,nsubj,Nom_PROPN
заложивой,advcl,VERB
филипп,nsubj,Nom_PROPN
многозначительно,advmod,ADV
ложкой,iobj,Ins_NOUN
знаете,acl,VERB
вы,nsubj,Nom_PRON
я,nsubj,Nom_PRON
наблюдение,obj,Gen_NOUN
себя,obl,Gen_PRON
клинике,obl,Loc_NOUN
и,cc:preconj,CCONJ
что,mark,SCONJ
вы,nsubj,Nom_PRON
пациенты,nsubj,Nom_PROPN
себя,obj,Acc_PRON
превосходин,advmod,ADV
который,obj,Gen_PRON
я,nsubj,Nom_PRON
специально,advmod,ADV
читать,xcomp,VERB
теряли,conj,VERB
вес,obl,Loc_NOUN
гм,nsubj,Nom_PROPN
интересом,obl,Ins_NOUN
тяпнутый,nsubj,Nom_ADJ
сам,amod,Nom_ADJ
медицина,obl,Loc_NOUN
филипп,nsubj,Nom_PROPN
откинувшись,advcl,VERB
появиться,conj,VERB
и,cc,CCONJ
портьере,obl,Loc_NOUN
зина,nsubj,Nom_NOUN
псу,iobj,Dat_PROPN
кусок,nsubj,Nom_NOUN
который,nsubj,Nom_PRON
он,iobj,Dat_PRON
не,advmod,PART
ломоть,conj,VERB
слопав,advcl,VERB
пес,nsubj,Nom_NOUN
вдруг,advmod,ADV
хотеть,ccomp,VERB
что,mark,SCONJ
он,nsubj,Nom_PRON
спать,xcomp,VERB
мочь,conj,VERB
ощущение,nsubj,Nom_NOUN
смотрели,parataxis,VERB
он,nsubj,Nom_PRON
захлопывая,advcl,VERB
отяжелевшие,nsubj,Nom_NOUN
глаз,nsubj,Nom_NOUN
мои,iobj,Acc_DET
не,advmod,PART
пища,obl,Acc_NOUN
пес,nsubj,Nom_PROPN
уложивой,advcl,VERB
сон,obl,Acc_NOUN
пес,obj,Acc_NOUN
нету,conj,Acc_NOUN
глухой,nsubj,Nom_PROPN
хорал,aux:pass,AUX
откуда,advmod,ADV
филипп,nsubj,Nom_PROPN
приидти,conj,VERB
и,cc,CCONJ
зина,obj,Acc_PROPN
что,mark,SCONJ
это,nsubj,Nom_PRON
такой,nsubj,Nom_DET
опять,xcomp,VERB
ответила,parataxis,VERB
филипп,nsubj,Nom_PROPN
зина,obj,Acc_PROPN
опять,advmod,ADV
горестно,advmod,ADV
филипп,nsubj,Nom_PROPN
ну,obj,Acc_PROPN
пошло,nsubj,VERB
быть,xcomp,VERB
дом,obj,Acc_NOUN
уезжать,xcomp,VERB
спрашивается,conj,VERB
но,cc,CCONJ
куда,advmod,ADV
каждый,nsubj,Nom_DET
пение,obj,Acc_NOUN
затем,advmod,ADV
сортирах,obl,Loc_NOUN
труба,obj,Acc_NOUN
котел,conj,VERB
потом,advmod,ADV
лопнет,advmod,PART
отоплении,obl,Loc_NOUN
далее,advmod,ADV
убивается,nsubj,Nom_PROPN
улыбаясь,advcl,VERB
и,cc,CCONJ
груду,obj,Acc_NOUN
ведь,acl,VERB
убиваться,obl,VERB
филипп,nsubj,Nom_PROPN
быть,ccomp,VERB
вы,nsubj,Nom_PRON
смотрите,advcl,VERB
филипп,nsubj,Nom_PROPN
красавец,obj,Acc_NOUN
изменились,parataxis,VERB
они,nsubj,Nom_PRON
теперь,advmod,ADV
резко,advmod,ADV
вы,nsubj,Nom_PRON
я,iobj,Gen_PRON
если,mark,SCONJ
я,nsubj,Nom_PRON
что,mark,SCONJ
значить,conj,Nom_NOUN
лежать,parataxis,VERB
основа,obl,Loc_NOUN
факт,nsubj,Nom_NOUN
который,obl,Gen_PRON
й,nsubj,Nom_PRON
вывод,obj,Acc_NOUN
