c0,c1,c2
шарик,nsubj,Nom_PROPN
анвремеми,iobj,Ins_NOUN
он,obl,Loc_PRON
утратить,advcl,VERB
и,cc:preconj,CCONJ
раз,advmod,Acc_NOUN
он,nsubj,Nom_PRON
она,advmod,ADV
ботинок,obl,Acc_NOUN
переулок,obl,Gen_NOUN
напугал,conj,VERB
расчищая,advcl,VERB
так,advmod,ADV
какую,obj,Acc_NOUN
село,ccomp,VERB
что,mark,SCONJ
она,nsubj,Nom_PRON
подвыть,parataxis,VERB
тумбу,obl,Acc_NOUN
раз,nsubj,Gen_NOUN
поддержать,advcl,VERB
какой,det,Acc_DET
сволочной,amod,Gen_ADJ
кот,nsubj,Nom_NOUN
бродяга,advmod,ADV
вьюг,nmod,Acc_NOUN
учуял,conj,VERB
краковскую,obj,Acc_NOUN
шарик,nsubj,Nom_NOUN
не,advmod,PART
мысль,obl,Gen_NOUN
прихватит,ccomp,VERB
что,mark,SCONJ
чудак,nsubj,Nom_NOUN
что,obl,Gen_PRON
добрый,obj,Gen_PRON
себя,obl,Ins_PRON
прийтись,conj,VERB
и,cc,CCONJ
делиться,xcomp,VERB
лязгнул,advcl,VERB
поэтому,mark,SCONJ
кот,obl,Gen_NOUN
он,nsubj,Nom_PRON
так,advmod,ADV
зубами,iobj,Ins_NOUN
шипением,ccomp,Ins_NOUN
труба,obl,Dat_NOUN
этажа,obl,Gen_NOUN
не,advmod,PART
моссельпром,obj,Acc_PROPN
рвань,obl,Acc_PROPN
шляющуюся,acl,Acc_VERB
господин,nsubj,Nom_PROPN
преданность,obj,Acc_NOUN
окошка,obl,Gen_NOUN
который,obl,Gen_PRON
ворчание,nsubj,Nom_NOUN
наградил,conj,VERB
пса,obj,Gen_NOUN
куском,iobj,Ins_NOUN
это,nsubj,Nom_PRON
он,nsubj,Nom_PRON
я,iobj,Gen_PRON
куда,advmod,ADV
ни,advmod,PART
здравия,nsubj,Nom_PROPN
филипп,conj,Nom_PROPN
кто,obl,Gen_PRON
ты,obl,Nom_PRON
собачья,nsubj,Nom_NOUN
словно,advmod,ADV
так,cc,ADV
господи,nsubj,Nom_NOUN
уважает,conj,VERB
что,obl,Gen_PRON
щеткой,iobj,Ins_NOUN
